word_start,word_end,line_end
26.062222222,26.387301587,nan
26.453333333,26.76952381,nan
26.874920635,28.2430839,nan
28.358095238,28.906666667,nan
28.906666667,30.27845805,30.27845805
30.528435374,30.719274376,nan
30.836825397,30.933333333,nan
30.933333333,32.228571429,nan
32.228571429,32.642176871,nan
32.711111111,33.020952381,nan
33.020952381,34.536054422,34.536054422
34.925714286,35.194920635,nan
35.194920635,35.316825397,nan
35.316825397,36.863492063,nan
37.09968254,37.658412698,nan
37.658412698,37.927619048,nan
37.927619048,38.96,38.96
39.304126984,39.547936508,nan
39.547936508,39.665487528,nan
39.665487528,41.246258503,nan
41.453424036,41.726984127,nan
41.726984127,43.35600907,43.35600907
43.621587302,44.175238095,nan
44.175238095,44.464761905,nan
44.464761905,45.272380952,nan
45.272380952,46.258503401,nan
46.37968254,47.657142857,47.657142857
50.189206349,50.453333333,nan
50.453333333,50.742857143,nan
50.742857143,52.10521542,nan
52.395827664,52.642539683,nan
52.642539683,53.028571429,nan
53.028571429,53.186031746,nan
53.186031746,54.316553288,54.316553288
54.562539683,55.090793651,nan
55.090793651,56.198095238,nan
56.198095238,56.721269841,nan
56.721269841,58.634013605,58.634013605
58.906122449,59.438730159,nan
59.438730159,60.297505669,nan
60.794920635,61.094603175,nan
61.094603175,61.693968254,nan
61.693968254,61.912380952,nan
61.912380952,62.982312925,62.982312925
63.259863946,63.515283447,nan
63.515283447,63.817142857,nan
63.817142857,64.67047619,nan
64.67047619,64.919365079,nan
64.919365079,66.006349206,nan
66.006349206,66.148571429,nan
66.148571429,67.354195011,67.354195011
67.657142857,67.931428571,nan
67.931428571,68.185396825,nan
68.185396825,69.502040816,nan
69.805714286,70.09015873,nan
70.09015873,70.374603175,nan
70.374603175,71.724263039,71.724263039
72.015238095,72.553650794,nan
72.553650794,72.680634921,nan
72.680634921,72.822857143,nan
72.822857143,73.528888889,nan
73.528888889,74.194285714,nan
74.194285714,74.585396825,nan
74.585396825,76.177777778,76.177777778
76.933514739,77.191836735,nan
77.191836735,78.561451247,nan
79.116190476,79.39047619,nan
79.39047619,80.899773243,nan
81.285079365,81.574603175,nan
81.574603175,85.568435374,85.568435374
111.299047619,111.837460317,nan
111.837460317,111.964444444,nan
111.964444444,113.160816327,nan
113.473015873,113.586213152,nan
113.586213152,113.955555556,nan
113.955555556,115.343673469,115.343673469
115.646258503,115.885714286,nan
115.885714286,117.300680272,nan
117.300680272,118.098866213,nan
118.098866213,119.740408163,119.740408163
120.0,120.312018141,nan
120.312018141,121.838367347,nan
122.169614512,122.459863946,nan
122.459863946,124.187755102,124.187755102
124.371882086,124.767346939,nan
124.767346939,124.923356009,nan
124.923356009,125.184580499,nan
125.184580499,125.879183673,nan
126.011791383,126.994285714,nan
127.132879819,127.248253968,nan
127.248253968,128.280816327,128.280816327
129.30031746,129.589115646,nan
129.589115646,130.290612245,nan
130.354648526,130.920634921,nan
130.920634921,131.350204082,nan
131.472108844,132.896326531,132.896326531
133.09968254,133.376870748,nan
133.376870748,133.917460317,nan
133.917460317,134.678639456,nan
134.678639456,135.281632653,nan
135.281632653,135.579138322,nan
135.579138322,137.216326531,137.216326531
137.456326531,137.734965986,nan
137.734965986,138.028117914,nan
138.028117914,139.430204082,nan
139.657142857,140.10122449,nan
140.157823129,140.27755102,nan
140.27755102,140.480725624,nan
140.480725624,141.588571429,141.588571429
141.830385488,142.080725624,nan
142.080725624,143.466666667,nan
143.466666667,144.029024943,nan
144.029024943,144.565986395,nan
144.565986395,145.724081633,145.724081633
146.750113379,147.011337868,nan
147.011337868,147.871201814,nan
147.871201814,148.375510204,nan
148.375510204,148.923356009,nan
148.923356009,150.315102041,150.315102041
150.540770975,150.657596372,nan
150.657596372,150.984126984,nan
150.984126984,151.977142857,nan
152.185034014,152.34829932,nan
152.34829932,153.420045351,nan
153.420045351,153.541950113,nan
153.541950113,154.72,154.72
154.931519274,155.408979592,nan
155.479365079,155.580952381,nan
155.580952381,156.863673469,nan
157.108390023,157.507482993,nan
157.507482993,157.688888889,nan
157.688888889,159.020408163,159.020408163
159.274376417,159.732970522,nan
159.732970522,159.829478458,nan
159.829478458,160.094331066,nan
160.094331066,160.827755102,nan
160.92154195,161.875918367,nan
161.995464853,163.428571429,163.428571429
164.201360544,164.480725624,nan
164.480725624,165.282539683,nan
165.282539683,165.823129252,nan
165.823129252,166.392743764,nan
166.392743764,167.766530612,167.766530612
168.007981859,168.282993197,nan
168.282993197,168.403265306,nan
168.507936508,169.643537415,nan
169.643537415,169.806802721,nan
169.806802721,170.822675737,nan
170.822675737,170.996825397,nan
170.996825397,172.151836735,172.151836735
172.384943311,172.617142857,nan
172.617142857,174.158367347,nan
174.566893424,174.831746032,nan
174.831746032,175.118367347,nan
175.118367347,175.365079365,nan
175.365079365,176.396371882,176.396371882
176.740136054,177.157369615,nan
177.157369615,177.295238095,nan
177.295238095,177.570975057,nan
177.570975057,178.256326531,nan
178.376417234,179.206349206,nan
179.482993197,179.603446712,nan
179.603446712,180.630204082,180.630204082
181.659863946,181.935600907,nan
181.935600907,183.268571429,nan
183.829478458,184.123356009,nan
184.123356009,185.631020408,nan
185.999092971,186.292970522,nan
186.292970522,190.839183673,190.839183673
