word_start,word_end,line_end
1.06122449,1.585306122,nan
1.76,2.601360544,2.601360544
5.738231293,5.979138322,nan
5.979138322,6.513197279,nan
6.513197279,6.771519274,nan
6.771519274,7.058866213,nan
7.058866213,7.33170068,nan
7.33170068,8.886258503,8.886258503
9.404444444,9.658412698,nan
9.658412698,9.917823129,nan
9.917823129,10.619501134,nan
10.75047619,11.022222222,nan
11.225396825,11.889342404,11.889342404
12.271746032,13.048888889,nan
13.048888889,13.315555556,nan
13.315555556,13.577142857,nan
13.577142857,14.291156463,14.291156463
14.598095238,14.915555556,nan
14.915555556,15.216326531,nan
15.372698413,16.170793651,16.170793651
16.436825397,17.226666667,nan
17.226666667,17.475555556,nan
17.475555556,17.752380952,nan
17.752380952,18.572335601,18.572335601
18.780952381,19.047619048,nan
19.047619048,19.352380952,nan
19.555555556,20.078004535,20.078004535
21.942857143,22.331428571,nan
22.331428571,22.900680272,nan
22.966349206,23.225396825,nan
23.225396825,23.761269841,nan
23.761269841,24.395464853,24.395464853
24.8,25.036190476,nan
25.036190476,25.552834467,nan
25.841269841,26.902857143,nan
26.902857143,27.217777778,nan
27.217777778,27.381405896,nan
27.512380952,28.745578231,28.745578231
28.975238095,29.221587302,nan
29.221587302,29.812244898,nan
30.021587302,30.664126984,nan
30.664126984,31.306666667,nan
31.306666667,32.312018141,32.312018141
33.09968254,33.868480726,nan
33.92,34.201904762,nan
34.201904762,34.458412698,nan
34.458412698,35.116553288,35.116553288
35.479365079,35.758730159,nan
35.758730159,36.027210884,nan
36.231111111,37.027301587,37.027301587
37.292698413,38.09015873,nan
38.09015873,38.36952381,nan
38.36952381,38.651428571,nan
38.651428571,39.463038549,39.463038549
39.641904762,39.923809524,nan
39.923809524,40.279365079,nan
40.408888889,41.214603175,41.214603175
41.483174603,41.732063492,nan
41.732063492,42.485260771,nan
42.542222222,42.892698413,nan
43.00952381,43.37414966,nan
43.532698413,44.363174603,44.363174603
44.64,44.893968254,nan
44.893968254,45.147936508,nan
45.147936508,45.412063492,nan
45.412063492,45.686349206,nan
45.686349206,46.450793651,nan
46.450793651,46.722539683,nan
46.722539683,47.238095238,nan
47.238095238,51.885714286,51.885714286
52.553650794,54.001269841,nan
54.001269841,54.795464853,54.795464853
56.345396825,56.840634921,nan
56.840634921,57.864852608,nan
57.93015873,58.597732426,nan
58.732698413,58.996825397,nan
59.258412698,60.502222222,60.502222222
60.916825397,61.990022676,nan
62.064761905,63.568253968,63.568253968
64.416507937,65.010793651,nan
65.208888889,65.488253968,nan
65.488253968,65.74984127,nan
65.74984127,66.521269841,66.521269841
66.778412698,67.057777778,nan
67.057777778,67.345124717,nan
67.53015873,68.390022676,68.390022676
69.252063492,70.66122449,nan
70.72,71.488435374,71.488435374
72.802539683,73.061587302,nan
73.061587302,73.846349206,nan
73.846349206,74.485260771,nan
74.615873016,74.948571429,nan
74.948571429,76.331972789,76.331972789
77.633015873,78.624943311,nan
78.796190476,80.359183673,80.359183673
81.08952381,81.92,nan
81.92,82.173968254,nan
82.173968254,82.448253968,nan
82.448253968,83.058503401,83.058503401
83.476825397,83.776507937,nan
83.776507937,84.092517007,nan
84.269206349,85.297052154,85.297052154
86.623492063,87.241723356,nan
87.304126984,88.326530612,88.326530612
91.309206349,91.545396825,nan
91.545396825,92.078730159,nan
92.078730159,92.345396825,nan
92.345396825,92.60952381,nan
92.60952381,92.883809524,nan
92.883809524,94.421768707,94.421768707
94.991746032,95.233015873,nan
95.233015873,95.486984127,nan
95.486984127,96.137868481,nan
96.292063492,96.518820862,nan
96.78984127,97.570793651,97.570793651
97.831111111,98.603174603,nan
98.603174603,98.89015873,nan
98.89015873,99.141587302,nan
99.141587302,99.853061224,99.853061224
100.17015873,100.45968254,nan
100.45968254,100.926984127,nan
100.926984127,101.723174603,101.723174603
101.988571429,102.733786848,nan
102.791111111,103.06031746,nan
103.06031746,103.324444444,nan
103.324444444,104.032653061,104.032653061
104.34031746,104.601904762,nan
104.601904762,105.015873016,nan
105.097142857,106.068027211,106.068027211
107.53015873,107.939047619,nan
107.939047619,108.490884354,nan
108.543492063,108.807619048,nan
108.807619048,109.335873016,nan
109.335873016,109.99292517,109.99292517
110.364444444,110.618412698,nan
110.618412698,111.146666667,nan
111.415873016,112.464761905,nan
112.464761905,112.711111111,nan
112.711111111,112.995555556,nan
112.995555556,114.364081633,114.364081633
114.542222222,114.786031746,nan
114.786031746,115.387936508,nan
115.588571429,116.358095238,nan
116.614603175,117.942857143,117.942857143
118.641269841,119.484444444,nan
119.484444444,119.766349206,nan
119.766349206,120.040634921,nan
120.040634921,120.796825397,120.796825397
121.048888889,121.318095238,nan
121.318095238,121.752380952,nan
121.810793651,122.636190476,122.636190476
122.841904762,123.65968254,nan
123.65968254,123.939047619,nan
123.939047619,124.200634921,nan
124.200634921,124.826122449,124.826122449
125.216507937,125.495873016,nan
125.495873016,125.978412698,nan
125.978412698,126.778412698,126.778412698
127.045079365,127.306666667,nan
127.306666667,128.111746032,nan
128.111746032,128.387482993,nan
128.606984127,128.93170068,nan
129.102222222,129.928888889,129.928888889
130.204444444,130.460952381,nan
130.460952381,130.72,nan
130.72,130.979047619,nan
130.979047619,131.255873016,nan
131.255873016,132.015238095,nan
132.015238095,132.284444444,nan
132.284444444,132.817777778,nan
132.817777778,137.565170068,137.565170068
138.097777778,139.485170068,nan
139.568253968,140.647619048,140.647619048
141.908752834,142.376054422,nan
142.435555556,143.442721088,nan
143.494603175,144.235102041,nan
144.29968254,144.748843537,nan
144.802539683,146.198639456,146.198639456
146.488888889,147.49170068,nan
147.66984127,148.880544218,148.880544218
149.975873016,150.786031746,nan
150.786031746,151.055238095,nan
151.055238095,151.337142857,nan
151.337142857,152.112380952,152.112380952
152.370793651,152.647619048,nan
152.647619048,153.097142857,nan
153.097142857,154.157278912,154.157278912
154.813968254,156.120816327,nan
156.294603175,157.405170068,157.405170068
158.364444444,158.628571429,nan
158.628571429,159.355646259,nan
159.410793651,160.104489796,nan
